NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Star Wars: Lost Stars #1|1|1|/panini-manga-mx/star-wars-lost-stars/star-wars-lost-stars-01.jpg|256|89.0|MXN|2019-05-15|"El planeta Jelucan está bajo el dominio del imperio galáctico. En un planeta con dos facciones profundamente arraigadas, Ciena y Thane, pertenecen a grupos diferentes, cumplen un encuentro fatídico e ingresan en la academia añorando formar parte del ejército imperial. Les aguarda un futuro prometedor, pero entonces tropiezan con la ""verdad"" del imperio..."|978-6-075-48938-4|1|false
Star Wars: Lost Stars #2|2|2|/panini-manga-mx/star-wars-lost-stars/star-wars-lost-stars-02.jpg|256|89.0|MXN|2019-11-20|La destrucción de Alderaan debía fungir como advertencia para las Fuerzas Rebeldes; no obstante, el contraataque no se hace esperar y desemboca en la explosión de la Estrella de la Muerte. En este ambiente de tensión y violencia, Thane se quiebra emocionalmente tras atestiguar la naturaleza siniestra del Imperio y decide desertar, pero Ciena sigue su rastro y comparten un bello momento. pero no sospechan que, tras la confesión de su amor mutuo, sus caminos se separarán definitivamente.|978-6-076-34003-5|1|false
Star Wars: Lost Stars #3|3|3|/panini-manga-mx/star-wars-lost-stars/star-wars-lost-stars-03.jpg|192|139.0|MXN|2020-06-10|Tras ver en persona al Emperador y partir hacia la Batalla de Endor, Ciena comienza a cuestionar su lealtad al Imperio, pero en ese momento se ve envuelta en la explosión de la Estrella de la Muerte II. El tiempo pasa; Thane la da por muerta y lucha por aceptar la idea, pero no se imagina que Ciena sigue viva y que aún formará parte esencial de los planes del Imperio. ¡Descubre el final de esta conflictiva historia de amor!|978-6-076-34816-1|1|false
