NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Disney: La Bella y la Bestia #1|1|1|/panini-manga-mx/la-bella-y-la-bestia/la-bella-y-la-bestia-01.jpg|192|89|MXN|2018-09-26|-|000-0000000000|1|FALSE
Disney: La Bella y la Bestia #2|2|2|/panini-manga-mx/la-bella-y-la-bestia/la-bella-y-la-bestia-02.jpg|192|89|MXN|2018-10-31|-|000-0000000000|1|FALSE
