NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Oruchuban Ebichu #1|1|1|/mangaline-mx/oruchuban-ebichu/oruchuban-ebichu-01.jpg|130|129.0|MXN|2022-05-24|Ebichu, un hámster hembra muy imperativa es adoptada en la casa de "La amita"; a pesar de su diminuto tamaño, comienza a tomar responsabilidades y a realizar labores domésticas del hogar. La relación entre ambas comienza a descontrolarse ante las actitudes y cambios de humor inesperados en torno a la dueña de Ebichu.|978-6079983239|1|false
Oruchuban Ebichu #2|2|2|/mangaline-mx/oruchuban-ebichu/oruchuban-ebichu-02.jpg|192|129.0|MXN|2023-02-23|Ebichu, un hámster hembra muy imperativa es adoptada en la casa de "La amita"; a pesar de su diminuto tamaño, comienza a tomar responsabilidades y a realizar labores domésticas del hogar.|000-0-00-000000-0|1|false
