PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE
6011f57b30b6b30b0354d54b|Slam Dunk|slam-dunk|-|Shōnen|Kanzenban|bimonthly|publishing|24|2019-02-12
6011f57b30b6b30b0354d54b|Solanin|solanin|-|Seinen|Tankōbon|bimonthly|completed|2|2021-09-29
6011f57b30b6b30b0354d54b|Sora no Otoshimono|sora-no-otoshimono|-|Shōnen|Tankōbon|monthly|completed|20|2017-03-09
6011f57b30b6b30b0354d54b|Soul Eater|soul-eater|-|Shōnen|Tankōbon|monthly|completed|25|2017-10-18
6011f57b30b6b30b0354d54b|Spy X Family|spy-x-family|-|Shōnen|Tankōbon|bimonthly|publishing|8|2021-02-10
6011f57b30b6b30b0354d54b|Star Wars Manga|star-wars-manga|-|sci-fi|Tankōbon|monthly|completed|12|2017-12-20
6011f57b30b6b30b0354d54b|Star Wars: Lost Stars|star-wars-lost-stars|-|sci-fi|Tankōbon|biannual|completed|3|2019-05-15
6011f57b30b6b30b0354d54b|Star Wars: The High Republic|star-wars-the-high-republic|-|sci-fi|Tankōbon|one-shot|completed|1|2021-12-22
6011f57b30b6b30b0354d54b|Strobe Edge|strobe-edge|-|Shōjo|Tankōbon|bimonthly|completed|10|2017-05-03
6011f57b30b6b30b0354d54b|Sword Art Online: Aincrad|sword-art-online-aincrad|-|sci-fi|Tankōbon|monthly|completed|2|2014-11-02
6011f57b30b6b30b0354d54b|Sword Art Online: Calibur|sword-art-online-calibur|-|sci-fi|Tankōbon|one-shot|completed|1|2018-05-30
6011f57b30b6b30b0354d54b|Sword Art Online: Fairy Dance|sword-art-online-fairy-dance|-|sci-fi|Tankōbon|monthly|completed|3|2015-08-19
6011f57b30b6b30b0354d54b|Sword Art Online: Girl Operations|sword-art-online-girl-operations|-|sci-fi|Tankōbon|bimonthly|completed|8|2019-09-18
6011f57b30b6b30b0354d54b|Sword Art Online: Mother's Rosario|sword-art-online-mothers-rosario|-|sci-fi|Tankōbon|bimonthly|completed|3|2018-08-01
6011f57b30b6b30b0354d54b|Sword Art Online: Phantom Bullet|sword-art-online-phantom-bullet|-|sci-fi|Tankōbon|monthly|completed|3|2016-06-22
6011f57b30b6b30b0354d54b|Sword Art Online: Progressive|sword-art-online-progressive|-|sci-fi|Tankōbon|bimonthly|completed|5|2021-06-23
6011f57b30b6b30b0354d54b|Takagi: La maestra de las bromas|takagi-la-maestra-de-las-bromas|-|Shōnen|Tankōbon|bimonthly|publishing|17|2019-08-28
6011f57b30b6b30b0354d54b|Tanya The Evil|tanya-the-evil|-|Seinen|Tankōbon|bimonthly|publishing|23|2019-05-08
6011f57b30b6b30b0354d54b|Weathering With You (Tenki no Ko)|weathering-with-you|-|Seinen|Tankōbon|bimonthly|completed|3|2021-03-24
6011f57b30b6b30b0354d54b|Tenku Shinpan|tenku-shinpan|-|Shōnen|Tankōbon|bimonthly|publishing|21|2020-01-22
6011f57b30b6b30b0354d54b|Terra Formars|terra-formars|-|Seinen|Tankōbon|bimonthly|publishing|22|2017-03-22
6011f57b30b6b30b0354d54b|The Ancient Magus' Bride|the-ancient-magus-bride|-|Shōnen|Tankōbon|bimonthly|publishing|17|2019-07-17
6011f57b30b6b30b0354d54b|The Gods Lie|the-gods-lie|-|Seinen|Tankōbon|one-shot|completed|1|2020-03-04
6011f57b30b6b30b0354d54b|The Legend of Zelda|the-legend-of-zelda|-|Shōnen|Kanzenban|bimonthly|completed|5|2017-12-13
6011f57b30b6b30b0354d54b|The Legend of Zelda: A Link To The Past|the-legend-of-zelda-a-link-to-the-past|-|Shōnen|Tankōbon|one-shot|completed|1|2021-12-01
6011f57b30b6b30b0354d54b|The Promised Neverland|the-promised-neverland|-|Shōnen|Tankōbon|bimonthly|publishing|20|2019-05-31
6011f57b30b6b30b0354d54b|The Seven Deadly Sins|the-seven-deadly-sins|-|Shōnen|Tankōbon|monthly|completed|41|2017-05-24
6011f57b30b6b30b0354d54b|To Love Ru|to-love-ru|-|Shōnen|Tankōbon|monthly|completed|18|2018-01-24
6011f57b30b6b30b0354d54b|To Love Ru: Darkness|to-love-ru-darkness|-|Shōnen|Tankōbon|bimonthly|publishing|18|2021-03-03
6011f57b30b6b30b0354d54b|Tokyo Ghoul|tokyo-ghoul|-|Seinen|Tankōbon|monthly|completed|14|2016-03-23
6011f57b30b6b30b0354d54b|Tokyo Ghoul: RE|tokyo-ghoul-re|-|Seinen|Tankōbon|bimonthly|completed|16|2019-06-28
6011f57b30b6b30b0354d54b|Tower of God|tower-of-god|-|Dark Fantasy|Tankōbon|bimonthly|publishing|8|2022-01-26
6011f57b30b6b30b0354d54b|Twin Star Exorcists|twin-star-exorcists|-|Shōnen|Tankōbon|bimonthly|publishing|27|2017-06-21
6011f57b30b6b30b0354d54b|Ultraman|ultraman|-|Seinen|Tankōbon|bimonthly|publishing|17|2019-03-27
6011f57b30b6b30b0354d54b|Uzumaki|uzumaki|-|Seinen|Tankōbon|bimonthly|completed|3|2017-10-11
6011f57b30b6b30b0354d54b|Vagabond|vagabond|-|Seinen|Tankōbon|bimonthly|publishing|37|2019-03-27
6011f57b30b6b30b0354d54b|Vampire Knight|vampire-knight|-|Shōjo|Tankōbon|monthly|completed|19|2014-03-14
6011f57b30b6b30b0354d54b|Vampire Knight: Memories|vampire-knight-memories|-|Shōjo|Tankōbon|bimonthly|publishing|6|2019-07-31
6011f57b30b6b30b0354d54b|My Hero Academia: Vigilante|my-hero-academia-vigilante|-|Shōnen|Tankōbon|bimonthly|publishing|13|2020-08-26
6011f57b30b6b30b0354d54b|World of Warcraft: Chamán|world-of-warcraft-chaman|-|Adventure|Tankōbon|one-shot|completed|1|2019-07-24
6011f57b30b6b30b0354d54b|World of Warcraft: El Caballero de la Muerte|world-of-warcraft-el-caballero-de-la-muerte|-|Adventure|Tankōbon|one-shot|completed|1|2019-05-29
6011f57b30b6b30b0354d54b|World of Warcraft: Leyendas|world-of-warcraft-leyendas|-|Adventure|Tankōbon|monthly|completed|5|2018-08-29
6011f57b30b6b30b0354d54b|World of Warcraft: Fuente de Sol|world-of-warcraft-fuente-de-sol|-|Adventure|Tankōbon|monthly|completed|3|2019-02-27
6011f57b30b6b30b0354d54b|World of Warcraft: Mago|world-of-warcraft-mago|-|Adventure|Tankōbon|one-shot|completed|1|2019-06-26
6011f57b30b6b30b0354d54b|We Never Learn|we-never-learn|-|Shōnen|Tankōbon|bimonthly|publishing|21|2020-11-04
6011f57b30b6b30b0354d54b|Wolf Children|wolf-children|-|Seinen|Tankōbon|bimonthly|completed|3|2018-03-14
6011f57b30b6b30b0354d54b|Wotakoi|wotakoi|-|Josei|Tankōbon|bimonthly|publishing|11|2019-03-20
6011f57b30b6b30b0354d54b|Yo-Kai Watch|yo-kai-watch|-|Children|Tankōbon|monthly|completed|28|2016-09-07
6011f57b30b6b30b0354d54b|Your Lie in April|your-lie-in-april|-|Shōnen|Tankōbon|bimonthly|completed|11|2018-04-11
6011f57b30b6b30b0354d54b|Your Name|your-name|-|Shōjo|Tankōbon|bimonthly|completed|3|2017-08-16
6011f57b30b6b30b0354d54b|Yu-Gi-Oh!|yu-gi-oh|-|Shōnen|Bunkoban|bimonthly|publishing|38|2020-08-16
6011f57b30b6b30b0354d54b|Yu Yu Hakusho|yu-yu-hakusho|-|Shōnen|Kanzenban|bimonthly|publishing|15|2020-01-29
6011f57b30b6b30b0354d54b|Yuna de la posada Yuragi|yuna-de-la-posada-yuragi|-|Shōnen|Tankōbon|bimonthly|publishing|24|2019-10-30
