PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE
6011f57b30b6b30b0354d54b|Claymore|claymore|-|Shōnen|Tankōbon|monthly|publishing|27|2021-05-19
6011f57b30b6b30b0354d54b|Cowa!|cowa|-|Shōnen|Tankōbon|one-shot|completed|1|2020-06-24
6011f57b30b6b30b0354d54b|Defense Devil|defense-devil|-|Shōnen|Tankōbon|monthly|completed|10|2014-09-14
6011f57b30b6b30b0354d54b|Death Note|death-note|-|Shōnen|Tankōbon|monthly|completed|12|2017-02-17
6011f57b30b6b30b0354d54b|Dorohedoro|dorohedoro|-|Seinen|Tankōbon|monthly|publishing|23|2021-10-13
6011f57b30b6b30b0354d54b|Dr. Slump|dr-slump|-|Shōnen|Tankōbon|monthly|publishing|18|2020-11-11
6011f57b30b6b30b0354d54b|Dr. Stone|dr-stone|-|Shōnen|Tankōbon|bimonthly|publishing|24|2017-06-12
6011f57b30b6b30b0354d54b|Dragon Ball|dragon-ball|-|Shōnen|Tankōbon|monthly|completed|42|2015-04-29
6011f57b30b6b30b0354d54b|Dragon Ball [Kanzenban]|dragon-ball-kanzenban|-|Shōnen|Kanzenban|bimonthly|publishing|17|2018-11-21
6011f57b30b6b30b0354d54b|Dragon Ball Super|dragon-ball-super|-|Shōnen|Tankōbon|biweekly|completed|34|2019-10-21
6011f57b30b6b30b0354d54b|Kutei Dragons|kutei-dragons|-|Seinen|Tankōbon|bimonthly|completed|11|2020-02-20
6011f57b30b6b30b0354d54b|Edens Zero|edens-zero|-|Shōnen|Tankōbon|bimonthly|publishing|19|2020-02-12
6011f57b30b6b30b0354d54b|El marido de mi hermano|el-marido-de-mi-hermano|-|Seinen|Tankōbon|bimonthly|completed|4|2019-09-25
6011f57b30b6b30b0354d54b|Erased|erased|-|Seinen|Tankōbon|bimonthly|completed|9|2019-07-10
6011f57b30b6b30b0354d54b|Fairy Tail|fairy-tail|-|Shōnen|Tankōbon|monthly|completed|63|2014-11-01
6011f57b30b6b30b0354d54b|Fairy Tail: 100 Years Quest|fairy-tail-100-years-quest|-|Shōnen|Tankōbon|bimonthly|publishing|10|2020-11-25
6011f57b30b6b30b0354d54b|Fate Stay Night|fate-stay-night|-|Shōnen|Tankōbon|monthly|completed|20|2018-12-18
6011f57b30b6b30b0354d54b|Fire Force (Enen no Shouboutai)|fire-force|-|Shōnen|Tankōbon|bimonthly|publishing|33|2018-06-20
6011f57b30b6b30b0354d54b|Fire Punch|fire-punch|-|Shōnen|Tankōbon|bimonthly|completed|8|2018-10-24
6011f57b30b6b30b0354d54b|Food Wars (Shokugeki no Soma)|food-wars|-|Shōnen|Tankōbon|monthly|completed|36|2017-11-01
6011f57b30b6b30b0354d54b|Fruits Basket|fruits-basket|-|Shōjo|Aizōban|bimonthly|completed|12|2020-03-18
6011f57b30b6b30b0354d54b|FullMetal Alchemist|fullmetal-alchemist|-|Shōnen|Tankōbon|monthly|completed|27|2015-11-25
6011f57b30b6b30b0354d54b|Fumetsu no Anata e (To Your Eternity)|to-your-eternity|-|Shōnen|Tankōbon|bimonthly|publishing|16|2020-01-22
6011f57b30b6b30b0354d54b|Game|game|-|Josei|Tankōbon|bimonthly|completed|4|2019-02-14
6011f57b30b6b30b0354d54b|Gantz|gantz|-|Seinen|Tankōbon|monthly|completed|37|2015-09-16
6011f57b30b6b30b0354d54b|Ghost in the Shell|ghost-in-the-shell|-|Seinen|Tankōbon|quarterly|completed|3|2017-04-05
6011f57b30b6b30b0354d54b|Gigant|gigant|-|Seinen|Tankōbon|bimonthly|publishing|10|2020-08-12
6011f57b30b6b30b0354d54b|Gigantomaquia|gigantomaquia|-|Seinen|Tankōbon|one-shot|completed|1|2019-07-24
6011f57b30b6b30b0354d54b|Given|given|-|Josei|Tankōbon|bimonthly|publishing|7|2020-10-21
6011f57b30b6b30b0354d54b|Goblin Slayer|goblin-slayer|-|Seinen|Tankōbon|bimonthly|publishing|15|2021-04-28
6011f57b30b6b30b0354d54b|Golden Kamuy|golden-kamuy|-|Seinen|Tankōbon|bimonthly|publishing|28|2019-05-08
6011f57b30b6b30b0354d54b|Granblue Fantasy|granblue-fantasy|-|Shōnen|Tankōbon|bimonthly|completed|7|2020-02-05
