PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM_URL|KAMITE_URL|TITLE ID
6313cd63e79ac634c6e80ccb|Trinity Seven|trinity-seven|-|Shōnen|Tankōbon|manga|biannual|ongoing|26|2019-06-24|Harem, Romantic Comedy, Urban Fantasy|Writer: Kenji Saitō; Illustrator: Akinari Nao|/ediciones/531646/trinity_seven_-_siete_hechiceras-rustica_con_sobrecubierta/todos|/230-trinity-seven|637c38c50344f45672506025
6313cd63e79ac634c6e80ccb|Saikin Imotono|saikin-imotono|-|Shōnen|Tankōbon|manga|bimonthly|completed|11|2016-09-23|Romantic Comedy, Supernatural|Author: Mari Matsuzawa|/ediciones/405183/ultimamente_mi_hermana_menor_actua_algo_extrano_-_saikin_imotono-rustica_con_sobrecubierta/todos|/44-saikin-imotono|637c38c50344f45672506026
6313cd63e79ac634c6e80ccb|Hoshi Mamoru Inu|hoshi-mamoru-inu|-|Seinen|Tankōbon|manga|annual|completed|2|2015-02-14|Slice of Life|Author: Takashi Murakami|/ediciones/379171/hoshi_mamoru_inu_el_perro_guardian_de_las_estrellas-rustica_con_sobrecubierta/todos|-|637c38c50344f45672506027
6313cd63e79ac634c6e80ccb|El Jardín De Las Palabras|el-jardin-de-las-palabras|-|Seinen|Tankōbon|manga|one-shot|completed|1|2019-05-02|Drama, Romance|Writer: Makoto Shinkai; Illustrator: Midori Motohashi|/ediciones/531178/el_jardin_de_las_palabras-rustica_con_sobrecubierta|-|637c38c50344f45672506028
6313cd63e79ac634c6e80ccb|Aku No Hana|aku-no-hana|-|Shōnen|Tankōbon|manga|quarterly|ongoing|11|2019-03-15|Coming-of-Age, Psychological Drama, Suspense|Author: Shūzō Oshimi|/ediciones/527543/las_flores_del_mal_-_aku_no_hana-rustica_con_sobrecubierta/todos|/162-aku-no-hana|637c38c50344f45672506029
6313cd63e79ac634c6e80ccb|xxx-holic|xxx-holic|-|Seinen|Tankōbon|manga|quarterly|ongoing|23|2018-10-27|Dark Fantasy|Author: CLAMP|/ediciones/489749/xxxholic-rustica_con_sobrecubierta/todos|/157-xxx-holic|637c38c50344f4567250602a
6313cd63e79ac634c6e80ccb|Soy Una Araña Y Qué|so-im-a-spider-so-what|-|Seinen|Tankōbon|manga|quarterly|ongoing|11|2019-03-13|Adventure, Isekai|Author: Okina Baba|/ediciones/601340/soy_una_arana_y_que_kumo_desuga_nanika-rustica_con_sobrecubierta/todos|/174-soy-una-araña-y-qué|637c38c50344f4567250602b
6313cd63e79ac634c6e80ccb|Kuroha Y Nijisuke|kuroha-y-nijisuke|-|Shōnen|Tankōbon|manga|one-shot|completed|1|2019-09-25|Action|Writer: Ryohgo Narita, Illustrator: Nazuna Shiraume|/ediciones/566391/kuroha_y_nijisuke-rustica_con_sobrecubierta|-|637c38c50344f4567250602c
6313cd63e79ac634c6e80ccb|Konosubarashi|konosubarashi|-|Seinen|Tankōbon|manga|bimonthly|ongoing|15|2019-11-07|Fantasy Comedy, Isekai|Author: Jitakukeibihei (Natsume Akatsuki)|/ediciones/568198/konosuba_bendice_este_maravilloso_mundo-rustica_con_sobrecubierta/todos|/175-konosubarashi|637c38c50344f4567250602d
6313cd63e79ac634c6e80ccb|El Nieto Del Sabio|el-nieto-del-sabio|-|Seinen|Tankōbon|manga|biannual|ongoing|18|2019-08-05|Fantasy, Isekai|Author: Tsuyoshi Yoshioka|/ediciones/553258/el_nieto_del_sabio_kenja_no_mago-rustica_con_sobrecubierta/todos|/206-el-nieto-del-sabio|637c38c50344f4567250602e
